2026-03-08T21:49:27.469+08 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final reqId=
2026-03-08T21:49:27.527+08 [main] INFO  c.example.sensorspring.Application - Starting Application using Java 21.0.8 with PID 39912 (D:\Code\Github_Remote\Sensor_Spring\build\classes\java\main started by 19638 in D:\Code\Github_Remote\Sensor_Spring) reqId=
2026-03-08T21:49:27.528+08 [main] INFO  c.example.sensorspring.Application - No active profile set, falling back to 1 default profile: "default" reqId=
2026-03-08T21:49:28.750+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode reqId=
2026-03-08T21:49:28.751+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode. reqId=
2026-03-08T21:49:28.960+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 199 ms. Found 8 JPA repository interfaces. reqId=
2026-03-08T21:49:28.983+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode reqId=
2026-03-08T21:49:28.985+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode. reqId=
2026-03-08T21:49:29.010+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.sensorspring.repository.AuditLogRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository reqId=
2026-03-08T21:49:29.010+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.sensorspring.repository.FileAssetRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository reqId=
2026-03-08T21:49:29.010+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.sensorspring.repository.FileBlobRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository reqId=
2026-03-08T21:49:29.010+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.sensorspring.repository.MembershipLevelRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository reqId=
2026-03-08T21:49:29.010+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.sensorspring.repository.MembershipLogRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository reqId=
2026-03-08T21:49:29.010+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.sensorspring.repository.UploadSessionRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository reqId=
2026-03-08T21:49:29.012+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.sensorspring.repository.UserMembershipRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository reqId=
2026-03-08T21:49:29.014+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.sensorspring.repository.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository reqId=
2026-03-08T21:49:29.014+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15 ms. Found 0 Redis repository interfaces. reqId=
2026-03-08T21:49:30.408+08 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http) reqId=
2026-03-08T21:49:30.426+08 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] reqId=
2026-03-08T21:49:30.427+08 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] reqId=
2026-03-08T21:49:30.429+08 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26] reqId=
2026-03-08T21:49:30.545+08 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext reqId=
2026-03-08T21:49:30.547+08 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2969 ms reqId=
2026-03-08T21:49:31.367+08 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default] reqId=
2026-03-08T21:49:31.452+08 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final reqId=
2026-03-08T21:49:31.504+08 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled reqId=
2026-03-08T21:49:31.877+08 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer reqId=
2026-03-08T21:49:31.911+08 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting... reqId=
2026-03-08T21:49:32.146+08 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@22e1a1dc reqId=
2026-03-08T21:49:32.148+08 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed. reqId=
2026-03-08T21:49:32.199+08 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default) reqId=
2026-03-08T21:49:32.200+08 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead reqId=
2026-03-08T21:49:33.269+08 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration) reqId=
2026-03-08T21:49:33.271+08 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default' reqId=
2026-03-08T21:49:33.632+08 [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'cacheManager' defined in file [D:\Code\Github_Remote\Sensor_Spring\build\classes\java\main\com\example\sensorspring\cache\CacheManager.class]: Unsatisfied dependency expressed through constructor parameter 0: No qualifying bean of type 'org.springframework.data.redis.core.RedisTemplate<java.lang.String, java.lang.Object>' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {} reqId=
2026-03-08T21:49:33.632+08 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default' reqId=
2026-03-08T21:49:33.634+08 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated... reqId=
2026-03-08T21:49:33.639+08 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed. reqId=
2026-03-08T21:49:33.653+08 [main] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat] reqId=
2026-03-08T21:49:33.666+08 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled. reqId=
2026-03-08T21:49:37.033+08 [main] ERROR o.s.b.d.LoggingFailureAnalysisReporter - 

***************************
APPLICATION FAILED TO START
***************************

Description:

Parameter 0 of constructor in com.example.sensorspring.cache.CacheManager required a bean of type 'org.springframework.data.redis.core.RedisTemplate' that could not be found.


Action:

Consider defining a bean of type 'org.springframework.data.redis.core.RedisTemplate' in your configuration.
 reqId=
2026-03-08T21:56:51.489+08 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final reqId=
2026-03-08T21:56:51.554+08 [main] INFO  c.example.sensorspring.Application - Starting Application using Java 21.0.8 with PID 26404 (D:\Code\Github_Remote\Sensor_Spring\build\classes\java\main started by 19638 in D:\Code\Github_Remote\Sensor_Spring) reqId=
2026-03-08T21:56:51.554+08 [main] INFO  c.example.sensorspring.Application - No active profile set, falling back to 1 default profile: "default" reqId=
2026-03-08T21:56:52.828+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode reqId=
2026-03-08T21:56:52.831+08 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode. reqId=
